Timestamp,Gender,Age range,Educational Qualification ,Occupation,Marital status,Your individual aggregate monthly income,how often do you buy readyto ,Which type of brand do you purchase from?,Source of information on recent ready-to-wear or clothing apparels?,When last did you buy a ready-to-wear clothing?,"If ready-to-wear were a person, which of the following adjectives do you feel would best describe your most preferred brand personality?",What kind of outfits do you usually prefer?,What influences you the most when you buy clothes?,MONTHLY BUDGET,CATEGORY OF BUDGET
2021/08/27 12:19:43 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Employed (private or non-profit sector),Single,"100,000",Rarely,Both (Domestic and International),Social media,More than 1 year ago,Daring;Elegant,Bespoke,Prices,"20,000",LOW PRICE
2021/08/27 12:24:22 pm CET,Female,26 - 30 years,Masters,Self-employed/Entrepreneur,Single,"200,000",Spontaneous,Domestic,Friends and family;Social media,Less than 1 month ago,"Modest, regal and comfortable",Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/27 12:33:04 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Student,Single,"10,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Upper class,Bespoke,Fashion/style,"20,000",LOW PRICE
2021/08/27 12:59:23 pm CET,Male,26 - 30 years,"Tertiary (NCE, HND)",Civil servant,Single,"300,000",Once in 6 months,Domestic,Social media,Between 1 and 6 months,Elegant,Bespoke,Fashion/style;Prices;Wearability,"50,000", HIGH PRICE
2021/08/27 1:26:28 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Employed (private or non-profit sector),Married,"200,000",Spontaneous,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Cheerful;Classy;Elegant;Sophisticated,Couture/High-end (local),Fashion/style;Prices;Wearability;Occasion,"20,000",LOW PRICE
2021/08/27 2:22:35 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Civil servant,Single,"200,000",Monthly,Both (Domestic and International),Friends and family;Social media,Between 1 and 6 months,Honest;Daring;Sophisticated,Casual (local brands),Fashion/style;Wearability,"20,000",LOW PRICE
2021/08/27 2:38:28 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Civil servant,Single,"100,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Elegant,Bespoke,Fashion/style,"50,000", HIGH PRICE
2021/08/27 2:40:47 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Employed (private or non-profit sector),Single,"100,000",Spontaneous,Both (Domestic and International),Social media,I donƒ??t remember,Colorful;Daring;Imaginative;Classy;Sophisticated,Afrocentric casual (local),Wearability,"20,000",LOW PRICE
2021/08/27 2:41:24 pm CET,Male,26 - 30 years,Masters,Student,Single,"200,000",Spontaneous;On special occasions,Domestic,Friends and family;Social media,I donƒ??t remember,Honest;Classy,Casual (local brands),Fashion/style;Prices,"20,000",LOW PRICE
2021/08/27 3:04:33 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Unemployed,Married,"30,000",Rarely,Both (Domestic and International),Social media,Between 1 and 6 months,Cheerful,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/27 3:04:47 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Student,Single,"100,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Between 1 and 6 months,Daring;Classy;Elegant;Sophisticated,Casual (local brands),Fashion/style,"20,000",LOW PRICE
2021/08/27 3:15:09 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Employed (private or non-profit sector),Single,"100,000",On special occasions,Both (Domestic and International),Social media;Work or school colleagues,Between 6 months and 1 year,Upper class,Casual (local brands),Prices,"20,000",LOW PRICE
2021/08/27 3:59:33 pm CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelor's)",Employed (private or non-profit sector),Single,"500,000",On special occasions,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Honest;Imaginative,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/27 4:30:06 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Self-employed/Entrepreneur,Married,"100,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Calm,Casual (local brands),Fashion/style,"50,000", HIGH PRICE
2021/08/27 5:02:08 pm CET,Female,36 - 40 years,Masters,Civil servant,Married,"200,000",Spontaneous;On special occasions,Both (Domestic and International),Friends and family;Social media,Less than 1 month ago,Imaginative;Classy;Elegant,Afrocentric casual (local),Fashion/style;Prices;Wearability,"50,000", HIGH PRICE
2021/08/27 5:51:26 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Student,Single,"50,000",Rarely,Both (Domestic and International),Friends and family;Social media,I donƒ??t remember,Cheerful,Casual (International),Fashion/style,"20,000",LOW PRICE
2021/08/27 6:30:43 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Employed (private or non-profit sector),Single,"200,000",Once in 3 months,Both (Domestic and International),Social media,Between 1 and 6 months,Daring,Casual (International),Fashion/style,"50,000", HIGH PRICE
2021/08/27 6:38:39 pm CET,Male,26 - 30 years,Masters,Civil servant,Divorced,"500,000",Once in 6 months,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Less than 1 month ago,Honest;Daring;Imaginative;Upper class,Casual (local brands),Fashion/style;Prices;Wearability;Occasion;Friends,"400,000", HIGH PRICE
2021/08/27 6:50:04 pm CET,Female,31 - 35 years,Masters,Civil servant,Married,"300,000",On special occasions,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Between 6 months and 1 year,Classy;Elegant,Afrocentric casual (local),Fashion/style;Prices;Trend;Wearability,"20,000",LOW PRICE
2021/08/27 7:02:02 pm CET,Female,36 - 40 years,Masters,Civil servant,Single,"200,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Between 6 months and 1 year,Cheerful;Elegant,Afrocentric casual (local),Wearability,"20,000",LOW PRICE
2021/08/27 7:06:23 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Civil servant,Married,"200,000",Once in 6 months,Domestic,Social media,Between 6 months and 1 year,Elegant,Casual (local brands),Wearability,"50,000", HIGH PRICE
2021/08/27 7:15:30 pm CET,Male,36 - 40 years,Masters,Civil servant,Married,"200,000",Once in 3 months,Both (Domestic and International),Friends and family,Between 1 and 6 months,Classy,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/27 7:23:43 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Student,Single,"100,000",Rarely,Domestic,Friends and family;Social media;Work or school colleagues,More than 1 year ago,Honest;Colorful;Classy;Elegant;Sophisticated,Bespoke,Fashion/style,"20,000",LOW PRICE
2021/08/27 9:02:08 pm CET,Female,20 - 25 years,Secondary,Student,Prefer not to say,"500,000",On special occasions;Rarely,International,Social media,I donƒ??t remember,Elegant,Casual (International),Occasion,"400,000", HIGH PRICE
2021/08/27 9:15:12 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Self-employed/Entrepreneur,Single,"100,000",On special occasions,Domestic,Friends and family,Between 6 months and 1 year,Elegant,Bespoke,Wearability,"100,000", HIGH PRICE
2021/08/27 11:35:30 pm CET,Male,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Employed (private or non-profit sector),Single,"100,000",On special occasions,Domestic,Social media,Less than 1 month ago,Classy,Afrocentric casual (local),Fashion/style,"70,000", HIGH PRICE
2021/08/28 10:48:18 am CET,Female,31 - 35 years,Masters,Unemployed,Married,"100,000",On special occasions,Both (Domestic and International),Friends and family;Social media,Between 6 months and 1 year,Cheerful;Elegant,Afrocentric casual (local),Occasion,"8,000",LOW PRICE
2021/08/29 7:03:49 am CET,Male,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Student,Single,"100,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Less than 1 month ago,Honest,Casual (local brands),Prices,"10,000",LOW PRICE
2021/08/29 12:10:31 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Self-employed/Entrepreneur,Divorced,"100,000",On special occasions,Domestic,Social media,Less than 1 month ago,Classy,Option 7,Fashion/style;Prices;Wearability,"68,000", HIGH PRICE
2021/08/30 8:04:24 am CET,Female,26 - 30 years,Masters,Self-employed/Entrepreneur,Married,"100,000",On special occasions,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,More than 1 year ago,"Covered,decent","A mix of international,local brands",Prices,"25,000", HIGH PRICE
2021/08/30 8:47:00 pm CET,Female,36 - 40 years,Masters,Civil servant,Divorced,"400,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Between 1 and 6 months,Honest;Colorful;Daring;Imaginative;Upper class;Classy;Elegant;Sophisticated,Bespoke,Fashion/style," 15,000 ",LOW PRICE
2021/08/30 10:10:40 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Student,Engaged,"200,000",Rarely,Domestic,Social media,More than 1 year ago,Cheerful;Upper class;Classy;Elegant,Casual (International),Fashion/style;Prices;Wearability," 43,000 ", HIGH PRICE
2021/08/31 1:19:24 pm CET,Female,20 - 25 years,Masters,Unemployed,Single,"100,000",On special occasions,Both (Domestic and International),Friends and family;Social media;Newspaper/advertisement posters,Between 1 and 6 months,Cheerful;Colorful;Daring;Imaginative;Upper class;Classy;Elegant;Sophisticated,Casual (local brands),Wearability,"20,000",LOW PRICE
,,,,,,,,,,,,,,,
